X,Y,OBJECTID,BSID,LNG,LAT,X_COORD,Y_COORD,STATUS,ROUTES,STOPNAME,DIR,GPS_YEAR,GPS_DATE,DISTANCE_FROM_STREET,BETWEEN_STREET_DISTANCE,Z_ELEVATION,DISTRICT,CITY,PARCEL_ID_NUMBER,POSTAL,PID,COUNTY,LOCATION,TEAMBOUNDARY,PICTURE,SE_ANNO_CAD_DATA,CORNER,RUNBOARD,COMMENTS,ON_STREET,AT_STREET,BETWEEN_STREET,STATION_ID,HUBABBR,HUBNAME,SBOARDS,STOPNAME_BSID
-11692731.713,4835095.0904,7925323,11344,-105.037586,39.787389,3129952.62538787,1712017.99645606,active,52,W 50th Ave & Osceola St,E,2002,2002/03/01 00:00:00+00,145,,0,C,Denver,,80221,0,Denver,F,West,,,SE,,,W 50th Av,Osceola St,,,,,0,W 50th Ave & Osceola St (Stop No. 11344)
-11687411.198,4822725.5987,7925324,26280,-104.989791,39.701951,3143559.15144117,1680967.91594566,active,0,I-25 & Broadway Station Gate C1,W,2007,2007/03/02 00:00:00+00,75,,999,A,Denver,0515500064000,80223,62,Denver,A,West,,, ,,,E Kentucky Ave,S Broadway,,4,BDWY,I-25 / Broadway Station,1,I-25 & Broadway Station Gate C1 (Stop No. 26280)
-11669412.0119,4861911.2193,7925325,20049,-104.82810157,39.97224818,3188325.26156,1779725.85745,active,RX,Bromley Ln & US 85 {1201},E,2014,2014/05/22 00:00:00+00,65,,0,K,Brighton,,80601,-1,Adams,N,North,,,SW,,MAY 2014,Bromley Ln,Hwy 85,,,,,0,Bromley Ln & US 85 {1201} (Stop No. 20049)
-11660830.4484,4833193.6709,7925326,33437,-104.75101213,39.77426247,3210526.68572,1707773.45501,active,42,42nd Ave & Ireland Ct,E,2009,2009/04/29 00:00:00+00,90,,0,B,Denver,,80249,0,Denver,F,East,,,SE,,99026,42nd Ave,Ireland Ct,,,,,0,42nd Ave & Ireland Ct (Stop No. 33437)
-11659283.3822,4834487.2602,7925327,33452,-104.73711458,39.78319308,3214405.62282,1711059.03809,active,42,Orleans St & 49th Ave,S,2016,2016/08/23 00:00:00+00,140,,0,B,Denver,,80249,-1,Denver,F,East,,,SW,,AUGUST 2016,Orleans St,49th Ave,,,,,0,Orleans St & 49th Ave (Stop No. 33452)
-11659338.5022,4834304.9782,7925328,33453,-104.73760974,39.78193473,3214270.31018,1710599.5004,active,42,Green Valley Ranch Blvd & Orleans St,W,2009,2009/04/29 00:00:00+00,120,,0,B,Denver,,80249,0,Denver,F,East,,,NW,,,Green Valley Ranch Blvd,Orleans St,,,,,0,Green Valley Ranch Blvd & Orleans St (Stop No. 33453)
-11660336.1419,4833308.9549,7925329,33454,-104.74657167,39.77505842,3211772.38328,1708073.71025,active,42,42nd Ave & Lisbon St,W,2009,2009/04/29 00:00:00+00,180,,0,B,Denver,,80249,0,Denver,F,East,,,NW,,,42nd Ave,Lisbon St,,,,,0,42nd Ave & Lisbon St (Stop No. 33454)
-11660909.5586,4833254.5659,7925330,33456,-104.75172278,39.77468292,3210325.67772,1707924.96183,active,42,42nd Ave & Ireland St,W,2009,2009/04/29 00:00:00+00,90,,0,B,Denver,,80249,0,Denver,F,East,,,NW,,,42nd St,Ireland St,,,,,0,42nd Ave & Ireland St (Stop No. 33456)
-11661496.8638,4835086.9949,7925331,33442,-104.75699864,39.78733309,3208805.08551,1712520.77472,active,45,Himalaya Rd & 49th Ave,NW,2009,2009/04/29 00:00:00+00,90,,0,B,Denver,,80249,0,Denver,F,East,,,NW,,,Himalaya Rd,49th Ave,,,,,0,Himalaya Rd & 49th Ave (Stop No. 33442)
-11662101.4608,4835598.9722,7925332,33460,-104.76242981,39.79086714,3207268.3494,1713795.66063,active,45,Dunkirk St & Dunkirk Way,S,2009,2009/05/07 00:00:00+00,20,,0,B,Denver,,80249,0,Denver,N,East,,,NW,,,Dunkirk St,Dunkirk Way,,,,,0,Dunkirk St & Dunkirk Way (Stop No. 33460)
-11661766.3221,4835287.5064,7925333,33435,-104.75941921,39.78871719,3208120.74092,1713019.39581,active,45,Himalaya Rd & 50th Ave,SE,2009,2009/04/29 00:00:00+00,45,,0,B,Denver,,80249,0,Denver,N,East,,,NW,,,Himalaya Rd,50th Ave,,,,,0,Himalaya Rd & 50th Ave (Stop No. 33435)
-11686074.1389,4842018.3815,7925334,23724,-104.97778,39.835163,3146659.74610472,1729511.85038722,active,7,Washington St & 76th Ave,N,2002,2002/03/01 00:00:00+00,528,,0,K,Welby,,80229,0,Adams,F,North,,,NE,,,Washington St,E 76th Av,,,,,0,Washington St & 76th Ave (Stop No. 23724)
-11667925.4934,4823774.3507,7925335,11950,-104.814748,39.709199,3192790.83513344,1683932.08953789,active,"153, 3L, 157, 133",Alameda Ave & Alameda Dr,SE,2002,2002/03/01 00:00:00+00,75,,0,F,Aurora,,80012,0,Arapahoe,F,East,,,SE,,AURORA LIBRARY,E Alameda Av,E Alameda Dr,,,,,0,Alameda Ave & Alameda Dr (Stop No. 11950)
-11687332.4713,4829508.1261,7925336,17762,-104.9890838,39.74881211,3143662.13754,1698038.72297,active,"44, 43, 38",Stout St & 19th St,N,2010,2010/11/04 00:00:00+00,150,,0,A,Denver,,80202,-1,Denver,F,West,,,SE,,AUGUST 2010,Stout St,19th St,,,,,1,Stout St & 19th St (Stop No. 17762)
-11677064.9364,4813587.5414,7925337,16192,-104.896849,39.638765,3169862.99570635,1658112.53923904,active,65,Quincy Ave & S Tamarac Pkwy,W,2002,2002/03/01 00:00:00+00,665,,0,E,Denver,,80237,0,Denver,M,East,,,,,,E Quincy Av,S Tamarac Dr,,,,,0,Quincy Ave & S Tamarac Pkwy (Stop No. 16192)
